BLVU,Black Vulture
BLWO,Black-and-white Owl
BMTO,Black-mandibled Toucan
BMVI,Blue Mountain Vireo
BNIB,Buff-necked Ibis
BNST,Black-necked Stilt
BNUM,Bare-necked Umbrellabird
BOBF,Boat-billed Flycatcher
BOBO,Bobolink
BOCH,Boreal Chickadee
BOGU,Bonaparte's Gull
BOOW,Boreal Owl
BOPE,Bonin Petrel
BOPT,Bronze-olive Pygmy-Tyrant
BOSP,Botteri's Sparrow
BOWA,Bohemian Waxwing
BOWR,Boucard's Wren
BPLT,Black-crowned Palm-Tanager
BPYE,Black-polled Yellowthroat
BPYT,Black-capped Pygmy-Tyrant
BRAC,Brandt's Cormorant
BRAM,Brambling
BRAN,Brant
BRAN_EHA,Brant - Eastern High Arctic population
BRAN_PAC,Brant - Pacific population
BRAN_WHA,Brant - Western High Arctic population
BRAT,Bright-rumped Attila
BRBL,Brewer's Blackbird
BRBO,Brown Booby
BRCR,Brown Creeper
BREM,Brace's Emerald
BRHE,Bronzy Hermit
BRHO,Brown Hawk-Owl
BRIN,Black Brant - Atlantic intermediate
BRIS,Bridled Sparrow
BRJA,Brown Jay
BRMA,Bronze Mannikin
BRNO,Brown Noddy
BROC,Bronzed Cowbird
BRPE,Brown Pelican
BRQD,Bridled Quail-Dove
BRSH,Brown Shrike
BRSP,Brewer's Sparrow
BRSW,Band-rumped Swift
BRTE,Bridled Tern
BRTH,Brown Thrasher
BRTI,Bridled Titmouse
BRTR,Brown Trembler
BRTW,Brownish Twistwing
BRUW,Black-rumped Waxbill
BRVI,Brown Violetear
BRWA,Blue-winged/Golden-winged Warbler hybrid Brewster's form
BSSO,Bare-shanked Screech-Owl
BSSP,Belding's Savannah Sparrow
BSTP,Band-rumped Storm-Petrel
BSTS,Black-striped Sparrow
BSWO,Black-striped Woodcreeper
BTAH,Broad-tailed Hummingbird
BTAT,Black-tailed Trogon
BTBA,Band-tailed Barbthroat
BTBO,Black-throated Bobwhite
BTBW,Black-throated Blue Warbler
BTCO,Black-tipped Cotinga
BTCU,Bristle-thighed Curlew
BTFG,Buff-throated Foliage-gleaner
BTFL,Black-tailed Flycatcher
BTGD,Black-tailed Godwit
BTGG,Black-thighed Grosbeak
BTGN,Black-tailed Gnatcatcher
BTGO,Bar-tailed Godwit
BTGR,Boat-tailed Grackle
BTGU,Black-tailed Gull
BTHH,Blue-throated Hummingbird
BTHT,Black-throated Trogon
BTJA,Black-throated Jay
BTLH,Blue-tailed Hummingbird
BTMA,Black-throated Mango
BTMJ,Black-throated Magpie-Jay
BTMO,Blue-throated Motmot
BTNW,Black-throated Green Warbler
BTPA,Brown-throated Parakeet
BTPI,Band-tailed Pigeon
BTPL,Bronze-tailed Plumeleteer
BTRG,Blue-throated Goldentail
BTSA,Buff-throated Saltator
BTSP,Black-throated Sparrow
BTST,Black-throated Shrike-Tanager
BTTH,Bare-throated Tiger-Heron
BTWR,Black-throated Wren
BTYW,Black-throated Gray Warbler
BUDG,Budgerigar
BUFF,Bufflehead
BUHU,Bumblebee Hummingbird
BULS,Buller's Shearwater
BUOR,Bullock's Oriole
BUOW,Burrowing Owl
BUPE,Bulwer's Petrel
BURW,Buff-rumped Warbler
BUSH,Bushtit
